Distance 6:
1573607 2
772525 2
2108508 2
1515882 2
425463 2
755297 2
2229179 2
886862 2
1535739 2
396408 2
539134 2
157884 2
854228 2
839586 2
1966904 2
978847 2
1317051 2
2203702 2
481460 2
154407 2
2057570 2
1008045 2
202032 2
1043584 2
550362 2
406222 2
2255120 2
2373082 2
585134 2
176651 2
290764 2
789108 2
637053 2
2377519 2
318765 2
87486 2
591222 2
104921 2
1923071 2
2024139 2
108918 2
825834 2
1717602 2
2189030 2
1275864 2
1351801 2
1794372 2
1838979 2
755836 2
1739540 2
861325 2
302692 2
2101668 2
104293 2
667276 2
1506710 2
1807228 2
1464279 2
2274265 2
2220419 2
1327059 2
1951276 2
2303487 2
914394 2
441577 2
2282703 2
93814 2
2257213 2
1029300 2
1145459 2
2253345 2
1983509 2
2072189 2
98627 2
1255606 2
2051124 2
660088 2
1986056 2
322180 2
1202001 2
2300725 2
955932 2
1844574 2
2173996 2
1843549 2
1197046 2
1295152 2
226318 2
1094520 3
876005 2
1525044 2
2154243 2
870286 2
1654691 2
861668 2
1638092 2
1463722 2
2093023 2
1218327 2
2088949 2
998989 2
1178702 2
2162533 2
1077846 2
2355971 2
2002261 2
1456838 2
1685278 2
1565134 2
1063066 2
1326972 2
1457066 2
1389719 2
1730196 3
2173443 2
479024 2
1686369 2
2044219 2
783986 2
1183034 2
1531953 2
1096882 2
726322 2
2180801 2
2265883 2
502207 2
2255376 2
116245 2
1015861 2
2247632 2
239876 2
1884650 2
2072197 2
847428 2
163041 2
787219 2
1127389 2
1575903 2
839028 2
1247480 2
912018 2
1262023 2
1100055 2
2150153 2
772728 2
1882428 2
1518562 2
2284009 2
1471006 2
863453 2
1723780 2
2324972 2
1802153 2
1111835 2
1869992 2
1513893 2
407782 2
1235920 2
735553 2
1497929 2
952193 2
1814781 2
1637968 2
2208414 2
138903 2
2177665 2
2325710 2
1291663 2
508592 2
1196650 2
464210 2
1423346 2
89416 2
1544776 2
1545221 2
1442428 2
472099 2
1686896 2
1980211 2
759486 2
813839 2
2007176 2
364882 2
2326941 2
1994655 3
868743 3
1123839 2
2214179 2
614185 2
327488 2
1640919 2
388661 2
736368 2
596817 2
1885497 2
313280 2
208167 2
2291128 2
2211879 2
1311060 2
2203392 2
1469463 2
1894586 2
410947 2
78106 2
659195 2
1501419 2
1759455 2
1301938 2
2180372 2
1440598 2
486208 2
955586 2
2256951 2
1090739 2
1058611 2
1892720 2
1665549 2
2038898 2
1816871 2
842900 2
2315651 2
268811 2
1291099 2
1523312 2
266944 2
837591 2
744063 2
1416566 2
504090 2
1594300 2
2212635 2
1104752 2
2039462 2
227431 2
562149 2
588637 2
462585 2
1203625 2
1524450 2
1859377 2
1072785 2
993626 2
172820 2
217971 2
1639843 2
1107805 2
1056065 2
1680458 2
1385313 2
1300999 2
356415 2
1888809 2
1345228 2
1142799 2
1444153 2
234646 2
2222389 2
469547 2
837185 2
1581384 2
380533 2
2139740 2
1286096 2
2076139 2
1704280 2
85471 2
1071829 2
1271180 2
1444837 2
1091043 2
2063532 2
388081 2
487365 2
2265015 2
95201 2
144804 2
298083 2
1520098 2
2186903 2
1772249 2
1731267 2
376029 2
1056901 2
441132 2
828096 2
508256 2
1419720 2
1433992 2
152913 2
2233953 2
1201069 2
830434 2
515859 2
833209 2
1204797 2
1347703 2
1358354 2
1584923 2
756360 2
2033661 2
93702 2
1899488 2
417962 2
1124203 2
1754507 2
1847791 2
2230253 2
285095 2
2044951 2
2020454 2
1737901 2
840634 2
789395 2
1598934 2
1321356 2
2344124 2
541794 2
1749936 2
1955999 2
275992 2
1063556 2
76937 2
436802 2
838109 2
466395 2
531619 2
2261557 2
2207178 2
2219308 2
964810 2
1419796 2
662489 2
717851 2
1641228 2
1844494 2
1994506 2
2260908 2
2056743 2
782646 2
746317 2
566153 2
819966 2
2084771 2
640244 2
457054 2
1460271 2
2352570 2
445211 2
312793 2
1154838 2
2108146 2
1031065 2
2226674 2
1944099 3
2306946 2
97848 2
1655045 2
1663763 2
2322710 2
341567 2
1756089 2
2165329 2
1426167 2
2241823 2
583065 2
473655 2
214367 2
1449990 2
891487 2
2077083 2
2313184 2
2302144 2
2377849 2
1861642 2
643172 2
504900 2
809760 2
2140662 2
1100405 2
242740 2
1212842 2
317079 2
390771 2
482741 2
810497 2
569661 2
2347064 2
1866711 2
1984891 2
578412 2
1209177 2
634633 2
1627658 2
52028 2
1885987 2
665446 2
1657364 2
258844 2
869302 2
380334 2
2115161 2
1993859 2
387290 2
138057 2
2157996 2
252152 2
1133136 2
811553 2
1310183 2
1715695 2
934038 2
710530 2
955569 2
1375628 2
94446 2
222073 2
1921106 2
882711 2
532747 2
1878301 2
1761311 2
2362010 2
2386770 2
1238091 2
1608211 2
2119091 2
2326821 2
1933587 2
578195 2
879367 3
1676187 2
2043658 2
403764 2
87601 2
1154302 2
971363 2
1472946 2
2280763 2
484053 2
2169898 2
1163509 2
1133058 2
23143 2
534799 2
1591998 2
911768 2
1649596 2
714725 2
1317320 2
602144 2
2139436 2
1522884 2
2216732 2
1066638 2
943567 2
869588 2
507721 2
140208 2
21278 2
898773 2
54425 2
1403298 2
565074 2
1053069 2
1249821 2
403965 2
2052806 2
741717 2
405599 2
1612360 2
752753 2
173257 2
1385469 2
1764760 2
333315 2
2097212 2
2278693 2
2157274 2
527974 2
154997 2
624161 2
1805779 2
452119 2
534690 2
233412 2
1186186 2
633492 2
583362 2
543728 2
638067 2
760355 2
2282658 2
171862 2
1082209 2
770386 2
241965 2
2330250 2
2086375 2
1089362 2
2203068 2
1694625 2
1094706 2
2079082 2
313012 2
149502 2
915914 2
1847020 2
735723 2
2334107 2
1690992 2
1998934 2
2223878 2
1740009 2
196798 2
589250 2
2119410 2
1487407 2
554196 2
579690 2
1204577 2
64003 2
1776518 2
2361502 2
2189096 3
660000 2
1745467 2
576403 2
1125900 2
1937589 2
436422 2
1325279 2
1450679 2
1498222 2
857665 2
2324130 2
477017 2
1518470 2
526619 2
486973 2
819536 2
1061701 2
1319159 2
1469525 2
668622 2
1090959 2
202272 2
1947558 2
1755484 2
2192659 2
2014095 2
1276584 2
127999 2
556822 2
1582186 2
372954 2
1418940 2
2060718 2
1108384 2
2382458 2
734789 2
1768653 2
1035564 2
1963163 2
1877526 2
386027 2
2099802 2
426553 2
1984033 2

Distance 10:
499638 816365
2144408 956120
512598 1790580
853163 1359340
798408 2328565

